range,cost,capacity,config
2.00367713,1729.908325,6,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------------*gNL3----------------------^ab^ac^ad^ae^df^eg^cf^eg,6,3"
6.019239426,1915.518677,7,"*aMM0-*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------*gNL3--------------^ab^ac^ad^ae^df^eg^cf^eg,7,3"
48.88494492,1733.124146,0,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------------*gNL3---------------------^ab^ac^ad^ae^df^eg^cf^fg^gb,0,3"
79.48867035,1742.095215,0,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3-------------------^ab^ac^ad^ae^df^eg^cf^gb,0,3"
60.26011276,1738.358032,0,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------*gNL3-------------------^ab^ac^ad^ae^df^eg^cf^gb,0,3"
60.04105377,1736.543457,0,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------*gNL3--------------------^ab^ac^ad^ae^df^eg^cf^gb,0,3"
48.99502563,1734.83374,0,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------------*gNL3--------------------^ab^ac^ad^ae^df^eg^cf^gb,0,3"
41.15434647,1729.908325,0,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3----------------------*gNL3----------------------^ab^ac^ad^ae^df^eg^cf^gb,0,3*"
74.46535492,1761.684937,1,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------*gNL3--------------^ab^ac^ad^ae^df^eg^cf^gb,1,3"
74.45944977,1756.91272,1,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3---------------*gNL3---------------^ab^ac^ad^ae^df^eg^cf^gb,1,3"
34.52578735,1744.017944,1,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3------------------*gNL3------------------^ab^ac^ad^ae^df^eg^cf^gb,1,3"
11.48949909,1720.18811,1,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------------*gNL3--------------------------^ab^ac^ad^ae^df^eg^cf^gb,1,3"
10.4294796,1717.810425,1,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3--------------------------*gNL3---------------------------^ab^ac^ad^ae^df^eg^cf^gb,1,3"
10.32109356,1740.172607,2,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-------------------*gNL3-------------------^ab^ac^ad^ae^df^eg^cf^gb,2,3"
2.160494804,1728.39917,3,"*aMM0--*bNM2+*cMN1+*dLM2+*eML1+*fLN3-----------------------*gNL3----------------------^ab^ac^ad^ae^df^eg^cf^gb,3,3"
